"Player","Team","REC","YDS","TDS","FL","FPTS"
"Â ","",""
"Travis Kelce","KC","104.3","1,228.0","8.8","0.8","173.9"
"Mark Andrews","BAL","89.5","1,114.7","9.2","0.8","165.3"
"Darren Waller","LV","81.7","997.9","4.9","0.7","127.7"
"George Kittle","SF","74.4","940.8","5.0","0.8","122.3"
"Kyle Pitts","ATL","70.4","978.1","3.8","0.7","119.4"
"Dalton Schultz","DAL","77.0","758.6","6.1","0.7","111.1"
"Dallas Goedert","PHI","61.2","799.0","5.0","0.7","108.7"
"T.J. Hockenson","DET","66.4","678.3","5.6","0.7","100.0"
"Mike Gesicki","MIA","64.9","736.3","4.3","0.6","98.0"
"Zach Ertz","ARI","64.1","662.7","5.3","0.6","96.7"
"David Njoku","CLE","47.4","607.5","5.5","0.1","93.4"
"Dawson Knox","BUF","44.1","539.3","6.3","0.1","91.3"
"Hunter Henry","NE","48.7","535.6","6.0","0.1","89.2"
"Noah Fant","SEA","60.9","639.7","4.0","0.6","86.8"
"Pat Freiermuth","PIT","63.5","540.4","5.6","0.7","86.5"
"Logan Thomas","WAS","49.7","528.6","5.5","0.6","84.3"
"Gerald Everett","LAC","59.0","584.8","4.7","1.3","84.2"
"Cole Kmet","CHI","59.8","649.7","3.4","0.7","83.8"
"Tyler Higbee","LAR","58.7","577.1","4.3","0.7","82.2"
"Robert Tonyan","GB","47.0","512.3","5.0","0.1","80.7"
"Irv Smith Jr.","MIN","49.9","504.0","4.9","0.2","79.7"
"Albert Okwuegbunam","DEN","49.7","510.8","4.9","0.7","79.2"
"Austin Hooper","TEN","54.5","503.6","5.0","0.6","79.0"
"Evan Engram","JAC","53.4","562.6","3.3","0.7","75.0"
"Hayden Hurst","CIN","42.3","430.9","4.3","0.7","67.6"
"C.J. Uzomah","NYJ","46.8","444.9","3.3","0.1","64.3"
"Mo Alie-Cox","IND","31.1","396.7","4.0","0.1","63.6"
"Brevin Jordan","HOU","43.0","428.2","3.5","0.2","63.2"
"Cameron Brate","TB","37.7","355.8","3.7","0.2","57.7"
"Adam Trautman","NO","35.2","356.5","3.1","0.6","53.0"
"Harrison Bryant","CLE","27.7","304.1","3.8","0.1","53.0"
"Foster Moreau","LV","22.8","277.2","3.2","0.1","47.1"
"Dan Arnold","JAC","30.0","354.4","1.7","0.7","44.0"
"Paul Quessenberry","HOU","35.0","335.0","2.0","1.0","43.5"
"Geoff Swaim","TEN","29.7","244.9","2.9","0.1","41.9"
"Jonnu Smith","NE","28.1","298.1","2.0","0.1","41.4"
"Tyler Conklin","NYJ","30.3","315.5","1.6","0.1","41.0"
"O.J. Howard","BUF","25.3","282.3","2.0","0.1","40.3"
"James O'Shaughnessy","CHI","29.1","315.3","1.4","0.1","40.0"
"Donald Parham Jr.","LAC","22.0","224.5","2.8","0.1","39.2"
"Jeremiah Hall","NYG","34.0","288.0","2.0","1.0","38.8"
"Ricky Seals-Jones","NYG","25.7","244.1","2.2","0.1","37.4"
"Tommy Tremble","CAR","27.8","279.2","1.6","0.1","37.4"
"John Bates","WAS","24.7","294.9","1.1","0.1","36.1"
"Cade Otton","TB","22.3","234.9","1.9","0.1","34.9"
"Kendall Blanton","LAR","22.4","238.6","1.9","0.5","34.5"
"Jordan Akins","NYG","27.4","254.3","1.4","0.6","32.5"
"Maxx Williams","ARI","22.3","242.3","1.3","0.0","31.9"
"Will Dissly","SEA","21.8","228.6","1.5","0.1","31.7"
"Anthony Firkser","ATL","26.9","243.6","1.4","0.6","31.6"
"Pharaoh Brown","HOU","26.7","228.7","1.0","0.6","27.6"
"Ian Thomas","CAR","21.8","208.4","0.9","0.1","26.4"
"Brock Wright","DET","16.3","153.7","1.8","0.0","25.9"
"Kylen Granson","IND","16.0","164.4","1.5","0.1","25.1"
"Marcedes Lewis","GB","18.6","171.8","1.4","0.5","24.5"
"Nick Boyle","BAL","15.2","139.9","1.5","0.0","23.0"
"Josiah Deguara","GB","13.8","143.4","1.3","0.1","22.1"
"Durham Smythe","MIA","16.2","164.4","0.7","0.0","20.8"
"Trey McBride","ARI","24.9","156.2","1.0","0.5","20.6"
"Ko Kieft","TB","13.4","138.0","1.1","0.0","20.3"
"Brycen Hopkins","LAR","12.0","138.0","1.0","0.0","19.8"
"Daniel Bellinger","NYG","13.9","141.2","1.0","0.1","19.6"
"Matt Bushman","KC","14.0","136.0","1.0","0.0","19.6"
"Ryan Griffin","CHI","12.2","124.5","1.2","0.0","19.4"
"Kyle Markway","LAR","12.0","133.0","1.0","0.0","19.3"
"Kenny Yeboah","NYJ","11.0","129.0","1.0","0.0","18.9"
"Nick Eubanks","CIN","12.0","127.0","1.0","0.0","18.7"
"Stephen Anderson","ARI","12.0","124.0","1.0","0.0","18.4"
"Eli Wolf","GB","12.0","123.0","1.0","0.0","18.3"
"Alize Mack","GB","12.0","123.0","1.0","0.0","18.3"
"Greg Dulcich","DEN","11.8","119.2","1.1","0.0","18.2"
"Nick Muse","MIN","12.0","122.0","1.0","0.0","18.2"
"Chris Manhertz","JAC","9.8","105.0","1.3","0.0","18.0"
"Jelani Woods","IND","11.3","116.1","1.1","0.0","17.9"
"Tyler Kroft","SF","11.0","125.0","0.8","0.0","17.3"
"Noah Gray","KC","10.6","102.4","1.2","0.1","17.2"
"Blake Bell","KC","13.3","117.1","0.9","0.0","16.8"
"James Mitchell","DET","12.0","106.0","1.0","0.0","16.6"
"Charlie Woerner","SF","10.0","102.0","1.0","0.0","16.2"
"Connor Heyward","PIT","11.5","115.9","0.7","0.1","15.8"
"Tyree Jackson","PHI","9.5","98.0","1.0","0.1","15.6"
"Jake Ferguson","DAL","10.1","100.0","0.8","0.0","14.8"
"Jody Fortson","KC","8.2","93.2","0.9","0.0","14.4"
"Jacob Harris","LAR","9.0","97.4","0.8","0.0","14.4"
"Nick Vannett","NO","8.0","93.8","0.8","0.0","14.0"
"Drew Sample","CIN","10.0","89.0","0.8","0.0","13.7"
"Luke Farrell","JAC","9.8","91.2","0.8","0.0","13.7"
"Ben Ellefson","MIN","7.8","81.7","0.8","0.0","13.2"
"Sean McKeon","DAL","8.3","84.4","0.8","0.1","13.1"
"Tre' McKitty","LAC","8.3","84.1","0.8","0.1","12.9"
"Juwan Johnson","NO","5.3","60.1","1.1","0.0","12.5"
"Adam Shaheen","MIA","8.5","81.1","0.7","0.0","12.4"
"Tommy Hudson","TEN","7.6","80.1","0.7","0.0","12.3"
"Jeremy Sprinkle","DAL","8.0","78.1","0.6","0.0","11.4"
"Tommy Sweeney","BUF","7.9","72.8","0.7","0.0","11.3"
"Nakia Griffin-Stewart","CLE","7.2","73.4","0.6","0.0","11.2"
"Jeremy Ruckert","NYJ","7.3","72.8","0.7","0.0","11.2"
"Dominique Dafney","GB","5.3","70.5","0.7","0.0","11.1"
"Devin Asiasi","NE","5.9","77.3","0.6","0.0","11.1"
"Charlie Kolar","BAL","6.9","72.4","0.7","0.0","11.1"
"Isaiah Likely","BAL","6.8","71.3","0.6","0.0","10.9"
"Antony Auclair","HOU","8.1","77.7","0.5","0.1","10.8"
"Grant Calcaterra","PHI","6.6","67.1","0.7","0.0","10.6"
"Miller Forristall","CLE","7.0","71.8","0.6","0.1","10.6"
"Colby Parkinson","SEA","7.2","72.6","0.6","0.1","10.5"
"Jacob Hollister","LV","7.4","66.5","0.6","0.0","10.1"
"Hunter Long","MIA","6.9","65.4","0.6","0.0","10.0"
"Cole Turner","WAS","6.4","60.9","0.6","0.0","9.5"
"Chigoziem Okonkwo","TEN","5.8","59.9","0.6","0.0","9.4"
"Andrew Ogletree","IND","5.9","59.3","0.6","0.0","9.4"
"Johnny Mundt","MIN","5.7","57.6","0.5","0.0","8.5"
"Parker Hesse","ATL","5.4","53.5","0.3","0.0","7.3"
"Codey McElroy","TB","4.3","46.2","0.4","0.0","7.1"
"Hunter Kampmoyer","LAC","3.9","40.1","0.4","0.0","6.2"
"Teagan Quitoriano","HOU","4.2","42.5","0.3","0.0","5.8"
"Eric Tomlinson","DEN","3.5","37.0","0.3","0.0","5.6"
"Mitchell Wilcox","CIN","3.6","36.6","0.3","0.0","5.6"
"Zach Gentry","PIT","4.0","37.5","0.3","0.0","5.3"
"Jack Stoll","PHI","3.3","32.9","0.3","0.0","5.2"
"Sammis Reyes","WAS","3.4","35.5","0.3","0.0","5.2"
"Tyler Mabry","SEA","3.6","36.5","0.2","0.0","5.0"
"Stephen Sullivan","CAR","3.7","37.0","0.2","0.0","5.0"
"Ross Dwelley","SF","3.1","28.9","0.2","0.0","4.3"
"Zach Davidson","MIN","1.8","19.0","0.2","0.0","2.8"
"Shane Zylstra","DET","1.8","18.1","0.2","0.0","2.7"
"Chris Myarick","NYG","1.9","18.6","0.1","0.0","2.7"
"John FitzPatrick","ATL","1.7","17.2","0.1","0.0","2.4"
""
""